       Field	   Intensity
        [mT]	         [ ]
     220.000	  5.2612e+03
     220.250	  5.2474e+03
     220.500	  5.3158e+03
     220.750	  5.1651e+03
     221.000	  5.5031e+03
     221.250	  5.8062e+03
     221.500	  5.9706e+03
     221.750	  6.8211e+03
     222.000	  7.1802e+03
     222.250	  6.0315e+03
     222.500	  4.7825e+03
     222.750	  4.3977e+03
     223.000	  5.0667e+03
     223.250	  6.4627e+03
     223.500	  7.0329e+03
     223.750	  6.4286e+03
     224.000	  6.0461e+03
     224.250	  6.5982e+03
     224.500	  7.3870e+03
     224.750	  7.3686e+03
     225.000	  6.4671e+03
     225.250	  5.7467e+03
     225.500	  5.8074e+03
     225.750	  6.0080e+03
     226.000	  6.2486e+03
     226.250	  7.2656e+03
     226.500	  8.4422e+03
     226.750	  7.8569e+03
     227.000	  5.3533e+03
     227.250	  3.7109e+03
     227.500	  5.0987e+03
     227.750	  7.9809e+03
     228.000	  9.4514e+03
     228.250	  8.8627e+03
     228.500	  7.0210e+03
     228.750	  4.8871e+03
     229.000	  4.0762e+03
     229.250	  5.0156e+03
     229.500	  6.7276e+03
     229.750	  8.2066e+03
     230.000	  8.2856e+03
     230.250	  7.3339e+03
     230.500	  6.7732e+03
     230.750	  7.1939e+03
     231.000	  8.6031e+03
     231.250	  9.4030e+03
     231.500	  8.0779e+03
     231.750	  6.2725e+03
     232.000	  6.0173e+03
     232.250	  6.5811e+03
     232.500	  6.7893e+03
     232.750	  6.9922e+03
     233.000	  7.5932e+03
     233.250	  8.3010e+03
     233.500	  8.4321e+03
     233.750	  7.5774e+03
     234.000	  6.4109e+03
     234.250	  5.7614e+03
     234.500	  5.8316e+03
     234.750	  6.8891e+03
     235.000	  8.6111e+03
     235.250	  9.5651e+03
     235.500	  9.4854e+03
     235.750	  9.8216e+03
     236.000	  1.0773e+04
     236.250	  1.1056e+04
     236.500	  1.0563e+04
     236.750	  1.0243e+04
     237.000	  1.0683e+04
     237.250	  1.1192e+04
     237.500	  1.0447e+04
     237.750	  9.2212e+03
     238.000	  9.0619e+03
     238.250	  9.4063e+03
     238.500	  9.1531e+03
     238.750	  8.3517e+03
     239.000	  7.6987e+03
     239.250	  7.5593e+03
     239.500	  7.8050e+03
     239.750	  8.3597e+03
     240.000	  9.1740e+03
     240.250	  1.0306e+04
