Lu_2uM_1cm,,Lu_2uM_1cm1,,Lu_5uM_1cm,,Lu_10uM_1cm,,Lu_20uM_1cm,,Lu_50uM_1cm,,Lu_100uM_1mm,,Lu_200uM_1mm,,Lu_500uM_1mm,,Lu_1mM_1mm,,Cell1 Blank,,Lu_2mM_100um,,Lu_5mM_100um,,Lu_10mM_100um,,Lu_20mM_100um,,Lu_30mM_100um,,Lu_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
540,0.002048494993,540,0.002157353563,540,0.0029959979,540,0.001446532784,540,0.002107641893,540,0.001199865714,540,-0.0003344731813,540,-0.002091512084,540,0.00223610783,540,0.001918082591,540,0.000981565332,540,-0.0007436363376,540,-3.12691227E-5,540,-0.0006854369421,540,-0.002431843895,540,-0.003716241801,540,-0.003147329204,
539,0.002303841989,539,0.00257053622,539,0.003064033343,539,0.00149520766,539,0.002007819712,539,0.001445779577,539,-0.0005365434336,539,-0.002392663853,539,0.002140522236,539,0.00195328868,539,0.000882157241,539,-0.0003568725951,539,0.0002062306885,539,-0.0005075859372,539,-0.002360173967,539,-0.003678255249,539,-0.002623472363,
538,0.002115497598,538,0.002283752197,538,0.003015103983,538,0.001376568922,538,0.001997495536,538,0.001287481398,538,-0.0003845986794,538,-0.002057505306,538,0.002339391736,538,0.002071487019,538,0.0009511075332,538,-0.000564516522,538,-0.0001000636257,538,-0.0008623884642,538,-0.002518120687,538,-0.003716806415,538,-0.00249665603,
537,0.001849654596,537,0.002008183859,537,0.00285935984,537,0.001356470049,537,0.002007793868,537,0.001198386075,537,-0.0002184226323,537,-0.002150141401,537,0.002423827536,537,0.00216827984,537,0.0009514188278,537,-0.000643772597,537,-4.959468424E-5,537,-0.0008231180836,537,-0.002587911906,537,-0.003747757757,537,-0.002184243873,
536,0.002276257845,536,0.002515205415,536,0.003189601004,536,0.001397499815,536,0.002197834663,536,0.001268528868,536,-0.000517100736,536,-0.002294414444,536,0.002189691179,536,0.00205309852,536,0.0007641785778,536,-0.0004160987446,536,0.0003275551135,536,-0.0004375629942,536,-0.00223528943,536,-0.003700534347,536,-0.001929698978,
535,0.002064880449,535,0.002313575009,535,0.002899463288,535,0.001273409696,535,0.001956382999,535,0.001451467513,535,-0.0004528200661,535,-0.002204127144,535,0.002251095371,535,0.002150797751,535,0.0008957492537,535,-0.0003774086945,535,0.0001090453879,535,-0.0006478565047,535,-0.002497737063,535,-0.003731281497,535,-0.00228190003,
534,0.001883555204,534,0.002072683303,534,0.002810687991,534,0.001307784696,534,0.001764576533,534,0.001138272695,534,-0.0003783915017,534,-0.002130616456,534,0.002381607657,534,0.002195467008,534,0.000738221861,534,-0.0005283217761,534,0.000149439511,534,-0.0005295627634,534,-0.002424430335,534,-0.003752171993,534,-0.002118251752,
533,0.002078587655,533,0.002308239928,533,0.003188923001,533,0.001420846907,533,0.002078951802,533,0.001430144534,533,-0.0003732705081,533,-0.002220970578,533,0.002530619269,533,0.002285599709,533,0.0009320660029,533,-0.0006712736213,533,-1.604927093E-6,533,-0.0006224219105,533,-0.002655736636,533,-0.0039555314,533,-0.002852718113,
532,0.002248154953,532,0.002539081499,532,0.003291547066,532,0.00134805683,532,0.002058170037,532,0.001636899775,532,-0.0003838745179,532,-0.002079764614,532,0.002433381043,532,0.002412660513,532,0.0008058525855,532,-0.0004128402215,532,0.0001997302752,532,-0.0006051545497,532,-0.002519613365,532,-0.003915924113,532,-0.002994444454,
531,0.002019132487,531,0.002079810016,531,0.003087313613,531,0.001425599563,531,0.002059808699,531,0.001596159185,531,-0.0003307484731,531,-0.001878359704,531,0.002434057882,531,0.002440565731,531,0.0009723810945,531,-0.0006887451163,531,-9.302420949E-5,531,-0.0007304052124,531,-0.002825354924,531,-0.003976667766,531,-0.003522732761,
